astorm	https://cdn.discordapp.com/attachments/1213219169760444416/1250883423971709040/astorm.zip?ex=67ecdcb8&is=67eb8b38&hm=52e2c8ab601636bdcf2de2f2f0f9e3f77528fb2ea25d116d5d553975e169c0bb&	Alien Storm	2024-06-13 00:00:00	1.0	astorm.zip		FB Neo	Emashzed/DangerMiaus - modeler: Emashzed/DangerMiaus
aliens	https://drive.google.com/uc?export=download&id=197TmVm5gV72lrWTxBllK2An1yFn0rXPP	Aliens	2023-05-26 00:00:00	1.0	aliens.zip		MAME 2003+	mAdbiLL - modeler: emunch
avsp	https://drive.google.com/uc?export=download&id=1TPoIwpfUPOXpTT_wjalyU3OhSu402SLB	Aliens vs. Predator	2023-06-17 00:00:00	1.0	avsp.zip		MAME 2003+	mAdbiLL - modeler: mAdbiLL
alisiad	https://cdn.discordapp.com/attachments/1213219169760444416/1222295325088420003/alisiad.zip?ex=67ed027a&is=67ebb0fa&hm=11e95af6162a6061860557029c28556f0e157f3fcddad0b6e27c5e57796577be&	Alisia Dragoon	2024-03-26 00:00:00	1.0	alisiad.zip/md_alisiad.zip		FB Neo	Alyx_Hope - modeler: mAdbiLL
aso	https://drive.google.com/uc?export=download&id=1QuE5ZfK9lNH7I94iPprNfUqC0VmKnlt6	Alpha Mission	2024-04-11 00:00:00	1.0	aso.zip	aka ASO (Armored Scrum Object)	MAME 2003+	topbuzz - modeler: emunch
altbeast	https://drive.google.com/uc?export=download&id=18-nMidyiTNIv-hgoSTOVPuC0zaecVM4j	Altered Beast	2024-02-18 00:00:00	1.0	altbeast.zip	lighted coinslot	MAME 2003+	Crusher124 - modeler: Crusher124
amidar	https://drive.google.com/uc?export=download&id=1g9Ml2IpGcOdXQ5l76OXgy7hEAQtSc2OZ	Amidar	2023-05-01 00:00:00	1.0	amidar.zip		MAME 2003+	Crusher124 - modeler: curif
apb	https://drive.google.com/uc?export=download&id=1lfr2cagxmdUBNZmpJQOh1gVsil4csqIZ	APB	2024-02-16 00:00:00	1.0	apb.zip	updated for mixed reality	MAME 2003+	mAdbiLL - modeler: mAdbiLL
area51	https://drive.google.com/uc?export=download&id=1N9Vh2S8WjoPxCfWCZerpl9nxylzPg8mt	Area 51	2023-05-29 00:00:00	1.0	area51.zip		MAME 2003+	mAdbiLL - modeler: emunch
area51	https://cdn.discordapp.com/attachments/1066438854090965043/1191836434223603933/area51.zip?ex=67ecf16d&is=67eb9fed&hm=e8fdf91da7888fdb8835add2e6014c2d4cb774bbbb70a5847e6fbfd681d91a21&	Area 51	2024-01-02 00:00:00	1.0	area51.zip		MAME 2003+	Zydonian - modeler: emunch
area51mx	https://drive.google.com/uc?export=download&id=1fwMlzlHqI5bEIveHVzRuco4fO3fGELvT	Area 51/Maximum Force Duo	2024-01-07 00:00:00	1.0	area51mx.zip	You will need the rom and the chd to play this one.	MAME 2003+	Crusher124 - modeler: Crusher124
area51mx_newguns	https://cdn.discordapp.com/attachments/1066438854090965043/1193724931679207534/area51mx_newguns.zip?ex=67ed38ba&is=67ebe73a&hm=fb22571a87f07538ffe49c885e1c9bffa8063dcfa8e146f4fe8de03f17fac4e5&	Area 51/Maximum Force Duo	2024-01-07 00:00:00	1.0	area51mx.zip	New version of Crusher's cab with new guns.	MAME 2003+	Crusher124/Dangermiaus - modeler: Crusher124
area51mx_newguns_area51only	https://cdn.discordapp.com/attachments/1066438854090965043/1193725248730845245/area51mx_newguns_area51only.zip?ex=67ed3905&is=67ebe785&hm=7d2802819e8991b527aba50731dd25273b076482ba4920a1b6b1acdb19ffbdee&	Area 51/Maximum Force Duo	2024-01-07 00:00:00	1.0	area51mx.zip	New guns and YAML file edited to run only Area 51	MAME 2003+	Crusher124/Dangermiaus - modeler: Crusher124
armedf	https://cdn.discordapp.com/attachments/1213219169760444416/1225743145673818133/image.png?ex=67ed0743&is=67ebb5c3&hm=65ee374324102bce5ac51f0ceae862a6863f8d4f2761258d725ee602a34c4df3&	Armed Formation	2024-04-05 00:00:00	1.0	armedf.zip		MAME 2003+	topbuzz - modeler: mAdbiLL
armorcar	https://drive.google.com/uc?export=download&id=1qzcl9G2ppvnQrF95zC59fkdl6C3DdIGa	Armored Car	2023-05-20 00:00:00	1.0	armorcar.zip		MAME 2003+	Crusher124 - modeler: emunch
assault	https://drive.google.com/uc?export=download&id=1RZsjx79czFrvs2BuLVwRMOr8m7SLdO-7	Assault	2024-03-01 00:00:00	1.0	assault.zip	optimized for mixed reality	MAME 2003+	mAdbiLL - modeler: BONd1/mAdbiLL
asterix	https://cdn.discordapp.com/attachments/1066438854090965043/1135951244687581304/Asterix.zip?ex=67ed5209&is=67ec0089&hm=cd6c0a64719e513c77321122a211e2ca98833f9c379949396100ab31a394c62f&	Asterix	2023-08-01 00:00:00	1.0	asterix.zip		MAME 2003+	ded head - modeler: Elleby
asterix-alt	https://drive.google.com/uc?export=download&id=12TF1bUOUTH-693Wo51jX6MFTGOwycROn	Asterix		1.0	asterix.zip		MAME 2003+	Ale B - modeler: DangerMiaus
gameboyadv_Asterix_Bashemall	https://cdn.discordapp.com/attachments/1213219169760444416/1246523241179123874/gameboyadv_tekkenadvance.zip?ex=67ed7abb&is=67ec293b&hm=4ec149a2245da4f77e5eb9e37156696ebd4ae5f5a2b44dc4e9b0c534f07070b7&	Asterix & Obelix - Bash Them All (Gameboy)	2024-06-01 00:00:00	1.0	Asterix  Obelix - Bash Them All.gba		mgba	Crusher124 - modeler: Crusher124
asteroid	https://drive.google.com/uc?export=download&id=1fgb4TgDw_l4-Ypekkodwis5XMfLlo2tl	Asteroids	2023-07-22 00:00:00	1.0	asteroid.zip		MAME 2003+	Crusher124 - modeler: Crusher124
astdelux	https://drive.google.com/uc?export=download&id=1RAz0tYbeQgiXAtygxvOydpc_6h0ct7pa	Asteroids Deluxe	2024-02-21 00:00:00	1.0	astdelux.zip	new custom cabinet, 3D controls, lighted coinbox, and a screen overlay	MAME 2003+	Crusher124 - modeler: Crusher124
astrob	https://drive.google.com/uc?export=download&id=1weEXeYyCCpvYkSUvdH__BN4uWQ8Evr4_	Astro Blaster	2024-01-24 00:00:00	1.0	astrob.zip		MAME 2003+	Crusher124 - modeler: Crusher124
brapboys	https://drive.google.com/uc?export=download&id=1w9hmgo5n230TaXRreLFf42qZzkG3-jkO	B.Rap Boys!	2023-05-31 00:00:00	1.0	brapboys.zip	Problems with emulation in current AgeOfJoy version!	MAME 2003+	DangerMiaus - modeler: emunch
bankp	https://drive.google.com/uc?export=download&id=1tlCJHilsWRijZC7TdD0zfDhVUIDAMqCo	Bank Panic!	2023-06-22 00:00:00	1.0	bankp.zip		MAME 2003+	mAdbiLL - modeler: mAdbiLL
cursedbarbiecab	https://cdn.discordapp.com/attachments/1213219169760444416/1231667932795244724/cursedbarbiecab.zip?ex=67ecd466&is=67eb82e6&hm=438c30904e832e1387b8d7aae4a35643dff9bc6ccef3e6b5e488e4443e0bec98&	Barbie Super Model (cursed version)	2024-04-21 00:00:00	1.0	barbiesm.zip/md_barbiesm.zip		FB Neo	Alyx_Hope - modeler: mAdbiLL
batman	https://elleby.itch.io/age-of-joy-comic-book-heroes-arcade-machine-cabinet-pack	Batman		1.0	batman.zip	Only available at https://elleby.itch.io/age-of-joy-comic-book-heroes-arcade-machine-cabinet-pack	MAME 2003+	Elleby - modeler: Elleby
Batman Forever Arcade	https://drive.google.com/uc?export=download&id=1FR0eJBuQA0NSBI1K_doeFFQeywqwqsYf	Batman Forever Arcade	2024-07-05 00:00:00	1.0	Batman Forever - The Arcade Game (USA).chd		swanstation	Dangermiaus/Zydonian - modeler: Dangermiaus
btmnret	https://drive.google.com/uc?export=download&id=1FQgdspmfOYUPIoi7jy3XfMQV8qEHpCVs	Batman Returns	2024-07-05 00:00:00	1.0	Batman Returns (USA).sfc		snes9x	Dangermiaus/Zydonian - modeler: Dangermiaus
btlmanid	https://cdn.discordapp.com/attachments/1213219169760444416/1229915190909337620/btlmanid.zip?ex=67ed0b88&is=67ebba08&hm=c2071747280c5e8931b42bca8b3f9e848fa39f6e1816f8452e35a00c034c4b61&	Battle Mania 2	2024-04-16 00:00:00	1.0	btlmanid.zip/md_btlmanid.zip	STROBE WARNING ON THIS GAME it's very manga like	FB Neo	Alyx_Hope - modeler: mAdbiLL
btoads	https://drive.google.com/uc?export=download&id=1dXEhe1cq75IMHJJKzwQdWR_K03ci9L4I	Battletoads	2023-07-22 00:00:00	1.0	btoads.zip		MAME 2003+	Angelicide - modeler: Angelicide
bzone	https://drive.google.com/uc?export=download&id=1p1SoTxcnGUuIWoYD8D1gof5QLiAi07Lh	Battlezone	2023-07-30 00:00:00	1.0	bzone.zip	"""Battlezone Arcade"" (https://skfb.ly/6WYKV) by Delinx is licensed under Creative Commons Attribution (http://creativecommons.org/licenses/by/4.0/)."	MAME 2003+	Angelicide - modeler: Delinx
bzone_cabaret_CA	https://drive.google.com/uc?export=download&id=1w-Me4Y9sRIHq1EbFyVMTUTvmQ_hv9Fq-	Battlezone (cabaret - controller animated)		1.0	bzone.zip		MAME 2003+	Crusher124 - modeler: Crusher124
bbusters	https://drive.google.com/uc?export=download&id=1enqLsOkIYEW7zO5DmBu5asAvjGcdjO54	Beast Busters	2023-09-21 00:00:00	1.0	bbusters.zip		MAME 2003+	DangerMiaus - modeler: GOZER/mAdbiLL/Crusher124/Dangermiaus
berzerk	https://drive.google.com/uc?export=download&id=1kpMquUDxQoOL0LWZyX0IE1hHvULVu6dI	Berzerk	2023-08-04 00:00:00	1.0	berzerk.zip		MAME 2003+	Crusher124 - modeler: Crusher124
berzerk_CA	https://drive.google.com/uc?export=download&id=1z2X0-xUwW0hlo_OjgklKKPgdQxbTPJsd	Berzerk (control animated)	2024-04-10 00:00:00	1.0	berzerk.zip		MAME 2003+	Crusher124 - modeler: Crusher124
bigscreen	https://cdn.discordapp.com/attachments/1213219169760444416/1231653118828089435/tvstand.zip?ex=67ed6f5a&is=67ec1dda&hm=fa9032cd4e92574cc4acbbbe4d7199571d0237f864eda19d31c778644fc44634&	Big Screen	2024-04-21 00:00:00	1.0	vigilant.zip	Bigscreen places a huge screen in your arcade. Edit the YAML file to swap the rom for whatever you want.	MAME 2003+	beholder - modeler: beholder
mp_bio	https://drive.google.com/uc?export=download&id=1zZM-an0aUf5Xuo8D4UIQAAzBngIQXlfk	Bio-Hazard Battle	2024-04-06 00:00:00	1.0	mp_bio.zip		MAME 2003+	mAdbiLL - modeler: mAdbiLL
bionicc	https://drive.google.com/uc?export=download&id=1ZlmLEa6Frd6rLsbKEunJMK_d3ETYskdI	Bionic Commando	2023-07-08 00:00:00	1.0	bionicc.zip		MAME 2003+	mAdbiLL - modeler: mAdbiLL
